proto,subproto,bulk0,bulk1,bulk2,bulk3,client_packet0,client_packet1,server_packet0,server_packet1,client_bulksize_avg,client_bulksize_dev,server_bulksize_avg,server_bulksize_dev,client_packetsize_avg,client_packetsize_dev,server_packetsize_avg,server_packetsize_dev,client_packets_per_bulk,server_packets_per_bulk,client_effeciency,server_efficiency,byte_ratio,payload_ratio,packet_ratio,client_bytes,client_payload,client_packets,client_bulks,server_bytes,server_payload,server_packets,server_bulks,is_tcp
TLS,Microsoft,517,7398,93,0,537,32,1480,1480,305.0,212.0,7398.0,0.0,180.5,208.23124165215938,1253.0,507.5874308924523,2.0,6.0,0.8448753462603878,0.9840383080606544,0.09603617983506252,0.08245471749121384,0.6666666666666666,722,610,4,2,7518,7398,6,1,1
TLS,Microsoft,3102,4380,0,0,537,537,1480,1480,3102.0,0.0,4380.0,0.0,463.14285714285717,180.9123138598433,1480.0,0.0,7.0,3.0,0.9568167797655768,0.9864864864864865,0.7301801801801802,0.7082191780821918,2.3333333333333335,3242,3102,7,1,4440,4380,3,1,1
TLS,NetFlix,2585,2567,0,0,537,537,20,32,2585.0,0.0,2567.0,0.0,452.8333333333333,188.2023881062323,664.75,650.8422908047694,6.0,4.0,0.951417004048583,0.965400526513727,1.0218127115456939,1.0070120763537203,1.5,2717,2585,6,1,2659,2567,4,1,1
QUIC,Google,1585,2451,0,0,1258,87,1258,795,1585.0,0.0,2451.0,0.0,536.3333333333334,515.3861551195268,358.14285714285717,447.29166852814717,3.0,7.0,0.9850839030453697,0.9776625448743518,0.6418029517351416,0.6466748266013872,0.42857142857142855,1609,1585,3,1,2507,2451,7,1,0
DNS,Microsoft365,39,157,0,0,47,0,165,0,39.0,0.0,157.0,0.0,47.0,0.0,165.0,0.0,1.0,1.0,0.8297872340425532,0.9515151515151515,0.28484848484848485,0.2484076433121019,1.0,47,39,1,1,165,157,1,1,0
DNS,GoogleServices,38,54,27,43,46,35,62,51,38.0,9.695359714832659,74.8,36.684601674272,46.0,9.695359714832659,82.8,36.684601674272,1.0,1.0,0.8260869565217391,0.9033816425120773,0.5555555555555556,0.5080213903743316,1.0,230,190,5,5,414,374,5,5,0
QUIC,Google,1323,2116,111,25,1258,81,1258,781,489.0,590.5861495158856,744.3333333333334,970.3004116709881,301.4,478.6801019470101,454.6,485.90311791549556,1.6666666666666667,1.6666666666666667,0.973457199734572,0.9824021117465904,0.6630004399472064,0.6569637259292431,1.0,1507,1467,5,3,2273,2233,5,3,0
TLS,Microsoft,517,6240,158,51,537,32,1480,1480,337.5,179.5,3145.5,3094.5,191.75,208.80897370563363,1068.5,590.6052686298466,2.0,3.0,0.8800521512385919,0.9812821712681329,0.11963812197785056,0.1072961373390558,0.6666666666666666,767,675,4,2,6411,6291,6,2,1
TLS,Telegram,229,161,185,105,249,205,181,125,301.0,134.1442010176611,1385.0,1770.74297024347,245.75,174.59578316786462,712.5,547.8700423762311,1.3333333333333333,2.0,0.9186164801627671,0.9719298245614035,0.22994152046783625,0.21732851985559568,0.6666666666666666,983,903,4,3,4275,4155,6,3,1
TLS,AmazonAWS,528,5378,662,0,548,20,20,1480,595.0,67.0,5378.0,0.0,258.0,206.01456259206532,1095.6,566.7851797639032,2.5,5.0,0.9224806201550387,0.981745162468054,0.23548740416210295,0.22127184827073262,1.0,1290,1190,5,2,5478,5378,5,1,1
